Cliente: Transportes Guerra Hermanos S de RL de CV,,,,,,,,,,
RFC: TGH160228AS7,,,,,,,,,,
Regimen: PM Coordinado (autotransporte),,,,,,,,,,
Periodo: Agosto 2026 (representa muestra de 40 filas del volumen real ~500 XMLs recibidos del mes),,,,,,,,,,
Fuente: XMLs descargados del Portal SAT + XMLs adjuntos en correos de proveedores,,,,,,,,,,
,,,,,,,,,,
UUID CFDI,Fecha emision,RFC emisor,Razon social emisor,Concepto principal,Subtotal,IVA,Total,Uso CFDI,Tipo operacion DIOT,Notas Nova
C7D8E9F0-2727-4A5B-9C6D-000000000027,2026-08-21,CAT981027A31,Caseta Autopista,TAG unidad 015,180.00,28.80,208.80,G03,Nacional 16%,Caseta
D8E9F0A1-2828-4A5B-9C6D-000000000028,2026-08-22,PEMEX010101000,Petroleos Mexicanos,Diesel 660 litros,10296.00,1647.36,11943.36,G03,Nacional 16%,Combustible cargable
E9F0A1B2-2929-4A5B-9C6D-000000000029,2026-08-23,MOB800812XW2,Mobil Aceites y Lubricantes,Aceite motor 40W flotilla,15200.00,2432.00,17632.00,G03,Nacional 16%,Mantenimiento vehicular
F0A1B2C3-3030-4A5B-9C6D-000000000030,2026-08-24,CAT981027A31,Caseta Autopista,TAG unidad 022,180.00,28.80,208.80,G03,Nacional 16%,Caseta
A1B2C3D4-3131-4A5B-9C6D-000000000031,2026-08-25,PEMEX010101000,Petroleos Mexicanos,Diesel 520 litros,8112.00,1297.92,9409.92,G03,Nacional 16%,Combustible cargable
B2C3D4E5-3232-4A5B-9C6D-000000000032,2026-08-26,REP180412UU3,Reparaciones Electricas Nogal,Diagnostico y reparacion sistema electrico unidad 042,3400.00,544.00,3944.00,G03,Nacional 16%,Mantenimiento vehicular
C3D4E5F6-3333-4A5B-9C6D-000000000033,2026-08-27,CAT981027A31,Caseta Autopista,TAG unidad 028,180.00,28.80,208.80,G03,Nacional 16%,Caseta
D4E5F6A7-3434-4A5B-9C6D-000000000034,2026-08-28,PEMEX010101000,Petroleos Mexicanos,Diesel 590 litros,9204.00,1472.64,10676.64,G03,Nacional 16%,Combustible cargable
E5F6A7B8-3535-4A5B-9C6D-000000000035,2026-08-29,PROV991211II7,Proveedor Desconocido SA,Servicio de asesoria administrativa,25000.00,4000.00,29000.00,G03,Nacional 16%,DUPLICADO CON XML SIGUIENTE Y RFC INVALIDO
F6A7B8C9-3636-4A5B-9C6D-000000000036,2026-08-29,PROV991211II7,Proveedor Desconocido SA,Servicio de asesoria administrativa,25000.00,4000.00,29000.00,G03,Nacional 16%,DUPLICADO XML DEL PROVEEDOR
A7B8C9D0-3737-4A5B-9C6D-000000000037,2026-08-30,CAT981027A31,Caseta Autopista,TAG unidad 038,180.00,28.80,208.80,G03,Nacional 16%,Caseta
B8C9D0E1-3838-4A5B-9C6D-000000000038,2026-08-30,PEMEX010101000,Petroleos Mexicanos,Diesel 630 litros,9828.00,1572.48,11400.48,G03,Nacional 16%,Combustible cargable
C9D0E1F2-3939-4A5B-9C6D-000000000039,2026-08-31,LLA940802H55,Llantas y Alineaciones Cumbres SA,Cambio 6 llantas unidad 022,27600.00,4416.00,32016.00,G03,Nacional 16%,Mantenimiento vehicular
D0E1F2A3-4040-4A5B-9C6D-000000000040,2026-08-31,MOB800812XW2,Mobil Aceites,Aceite hidraulico transmision,4800.00,768.00,5568.00,G03,Nacional 16%,Mantenimiento vehicular
,,,,,,,,,,
RESUMEN AGRUPADO POR TIPO DIOT:,,,,,,,,,,
Combustible cargable (14 XMLs): 114900.00 subtotal + 18384.00 IVA = 133284.00 total,,,,,,,,,,
Casetas (10 XMLs): 1800.00 + 288.00 IVA = 2088.00 total,,,,,,,,,,
Mantenimiento vehicular (9 XMLs): 126200.00 + 20192.00 IVA = 146392.00 total,,,,,,,,,,
Servicios recurrentes (4 XMLs): 78000.00 + 12480.00 IVA = 90480.00 total,,,,,,,,,,
Impuestos y gubernamental (4 XMLs): 103500.00 + 0.00 IVA = 103500.00 total,,,,,,,,,,
Servicios profesionales sospechosos (2 XMLs): 50000.00 + 8000.00 = 58000.00 total (DUPLICADO Y RFC INVALIDO),,,,,,,,,,
,,,,,,,,,,
ALERTAS PARA NOVA (deliberadas para el demo):,,,,,,,,,,
1. UUIDs 000000000035 y 000000000036 son DUPLICADOS emitidos por PROV991211II7 con RFC que no cuadra formato SAT valido. Nova debe flaggear y NO capturar hasta que Ricardo Uranga confirme con el cliente.,,,,,,,,,,
2. Concentracion de combustible + casetas: 32% del gasto total - normal para autotransporte pero alto vs promedio de 26% - senal de que aumentaron viajes o subieron precios diesel.,,,,,,,,,,
3. Mantenimiento mayor de 45000 (transmision unidad 015) - eventual capitalizable como mejora vs gasto directo - flaggear a contador.,,,,,,,,,,
